,content
1,"请列举家庭资产负债表的三个公式。   资产-负债=净值, 以成本计价的期初期末净值差异=当期储蓄额, 以市值计价的期初期末净值差异=储蓄额+投资资产. 账面价值变动+自用资产账面值变动"
2,本币在外升值，在内贬值    老师，本币会不会在一定的时期，在国际上升值而在国内贬值或者在国际上贬值而在国内升值的情况出现？
3,就文字和样品而言，哪种是合同表示商品质量的第一选择？为什么？
4,有一个关于货币层次的问题   居民减少定期存款，增加活期存款，会增加M1，老师这个为什么不正确呢
5,"汇率数据的意思    外汇市场，某日美元与港元的汇价是1美元=7.7723/80港元, 如果客户卖出10万港元可以获得多少美元？老师，请问这个汇价，是站在银行层面买入汇价是7.7723，卖出汇价是7.7780。那么客户卖出10万港元，就是银行买入10万港元，那不是用10/7.7723吗？为什么这么理解不对。还烦请老师指正！"
6,主导地位和最主要的信用形式有何差异？ 老师您好， 在第一题中，信用形式中占主导地位的是银行信用，但是在第五题中，最主要的信用形式是商业信用。这两者有何区别呢？
7,大额存单的流通价格的计算   请问老师，转让价格需要减去持有期的利息收益吗
8,未来是不是会变成地球货币制度宇宙货币制度
9,公债的发行  公债发行是主要面对国内还是国外？公债发行会不会对国际投机者给予可趁之机？公债购买需不需要设计门槛？
10,通胀率的考虑 老师您好，请问一下在计算现值的时候为什么不讲通胀率考虑进去呢，以一年为例，通胀率为π，投资收益率为r，则FV= PV(r－π)，这样计算出来的现值会大于不考虑通胀时计算的现值
11,反射效应   为什么在获利面前，人们反而不愿意冒险？
12,关于近期的比特币旷难引发的对于比特币到底是不是货币的问题   在上星期的课堂中，我们讨论了关于比特币到底是不是货币的问题，在这次了解矿难问题后，我有了新的想法和问题，想法是比特币其出现的面目是以投资品来出现的，货币从商品世界中脱离出来固定的充当一般等价物，其流通手段支付手段的特质并没有让人们去疯狂的追求以牟利，而是作为一种中介的手段，所以从这个角度可以了解比特币不是货币的性质吗？
13,营业税和所得税的差别是什么？是否会重复缴税？ 老师在讲到投资利润率指标时，提到了总投资指标包括营业税前和税后利润率，资本金指标包括所得税前和税后利润率。想问一下营业税和所得税的差别是什么？企业是否会重复缴税？营业税前（后）利润率和所得税前（后）利润率又有什么区别呢？
14,关于需求，需求量；供给，供给量    人们对于商品房价进一步上涨的预期，导致的直接结果是目前商品房市场的（供给增加、需求增加）。
15,边际转换率  老师，请问边际转换率可以缩小吗？就是一种商品转换为另一种商品的比率缩小。如果是缩小的话，∆X和∆Y要满足的条件又是什么呢？
16,为什么这句话是错的呢？是因为银行承兑汇票是商业信用形式和银行信用形式的双重形式吗？
17,如何理解公债作为商业银行的二级储备  商业银行可以买卖公债吗？
18,要订立一项合同，哪些磋商环节是不可缺少的？为什么？
19,为什么家庭理财要银行代为投资呢？   家庭理财投资的范围有限；家庭理财者需要更为专业的投资机构代为打理资产，实现资产保值增值。
20,现金流和机会成本   其在投资项目的分析中，发生了一系列现金流。请问哪项属于机会成本？B.该项目需要动用公司目前拥有的一块土地，该土地目前售价为300万元。D.投资该项目需要营运资本200万元，先动用现有项目营运资本解决。D选项为什么不是机会成本？如果投资这个项目，会占用其他项目的资金；而如果不投资这个项目，其他项目资金就不会占用
21,汇率 2015年初至9月，我国央行多次降息，(不考虑其他因素时，)其影响可包括？A促使人民币汇率贬值B促使人民币汇率升值C促使跨境资金流入D促使跨境资金流出
22,关于远期外汇结算   远期外汇的结算方式是？
23,请问一下贷方为什么反映外汇供给啊？  贷方记录的是货币收入和资本流入，例如与外国进行交易时，外国向本国支付资金，那本国货币并没有提供给对方，为什么说是反映外汇供给呢？如果这个外汇指的是外国的货币，那借方中指的货币是本国货币还是外国货币呢？外国人用本国货币支付的怎么记录国际收支呢   店铺只负责收钱而不会记录谁支付的，国家如何统计这部分收支？为什么贷方是出口？借方是进口？
24,期货数量   中国期货交易所不是只有三个吗？
25,10．企业计提存货跌价准备会计使会计利润大于应纳税所得额。（    ）A对B错正确答案：B你错选为A.老师计提跌价准备增加资产减值损失金额是利润表抵减科目会减少利润，应纳税所得额在发生时扣除的话为什么会计利润大于应纳税所得额呢
26,为什么用间接标价法表示？
27,边际产品价值VMP与边际收益MR的联系与区别是什么？ 边际产品价值VMP与边际收益MR的联系与区别是什么？
28,第四章题目，请老师答疑    边际技术替代率递减的原因：一定技术条件下，任何一种生产过程都要求各要素之间比例适当，这意味着要素之间的（   ）是有限的
29,老师多次提到头寸，头寸是什么，怎么理解呢？
30,汇率变动对一国国际收支的影响
31,比较优势出现两种商品，怎样才能突出其中一种的比较优势，不懂，求解
32,利率和收入的关系   利率高低会影响储蓄和投资流量的变化，但为什么会影响收入的变化？
33,垄断与竞争  请问老师垄断与完全竞争难道不是 垄断用边际成本等于边际收益取决产量和价格 而竞争则价格等于边际成本来确定的吗？
34,今年减税了，为什么税收收入还是在大幅度增长？
35,公共商品的两个基本特征：           公共商品的两个基本特征： 第一个是非排他性。即一个人对一种公共商品的消费无法排斥他人对一种公共商品的的消费。 第二个特征是非竞争性。这是指当增加一个公共商品的消费者时，不会减少其他消费者对该商品的消费水平。
36,这题我的分析是：需求不发生变化，需求量的增加和供给的减少，使供给曲线左移需求曲线不变，均衡价格上涨。
37,集装箱运输的特征是什么？
38,最近股票大涨反映了市场什么？
39,投资行业   理财经理的工作是怎样的，他的获利情况如何？
40,讨论题2-4 面对通货膨胀，应如何进行家庭资产配置？能举例说明吗？
41,带息票据贴现公式中票据到期值没搞明白。    带息的票据贴现利息=票据到期值×年贴现率×贴现天数÷360 到期值是票据整个的时间跨度而不是从贴现日到到期日的时间长度、。。
42,题目"沿着一条负斜率的线性需求曲线提高价格，需求价格弹性..." 为什么选不断降低是错的？
43,消费者对X的购买决策是否主要取决于X的价格与自己的收入？   为什么·不对·？
44,逾期接受、有条件接受在何种情况下仍具有接受效力？
45,老师，请问递延年金和先付年金怎么算？
46,求问第三题A选项   卡特尔的利润最大，不应该是行业的边际收益等于行业的边际成本咩？有点不理解为什么A说厂商的边际成本等于行业的边际收益是对的…
47,货币发行准备制度   老师您好，请问在信用货币时代，货币发行准备制度为什么还是需要的呢？之前这样做是为了保障货币的含金量和购买力，但是与贵金属脱钩后它的作用有变化吗？另外，为什么可以与其他货币直接挂钩呢？这个又与准备制度有什么关系？
48,老师讲的意思不是海湾国家不存在稀缺资源吗？  老师讲的意思不是海湾国家不存在稀缺资源吗？拿答案怎么又存在稀缺资源呢？
49,请问老师有关金融的时政和相关知识 哪些平台或者网站上比较宽泛 请问老师金融方面的时政和相关知识 哪些平台或者网站上比较宽泛、详细？
50,广告费和宣传费的扣除  广告费和宣传费  是分别按不超过销售（营业）收入的15%计算，还是广告费和宣传费求和以后按不超过销售（营业）收入的15%计算，  销售（营业收入）是包括销售收入+其他业务收入吗？
51,生活中我们应该要有哪些经济学上的思维呢？
52,关于建筑工人工资提高的疑问  老师好：我认为：建筑工人工资提高，不是自身价格因素，属于价格以外因素引起。建筑工人工资提高促使需求曲线右移，使得新房子价格上升，供给量上升，达到新的供给均衡。
53,需求和需求量有什么区别    施老师，您好！请问经济学中的需求和需求量有什么区别？
54,如何理解财务杠杆效应 如何理解财务杠杆效应
55,讨论题8-6 上世纪80 年代发生的日本住宅房地产泡沫危机，对我国房地产市场发展有什么启示？
56,第四题    想请问下老师，第四题金融资产账面价值和计税基础产生了40的应纳税暂时性差异，为什么不对所得税费用产生影响？
57,生产税    老师，在生产过程中征收的税都有哪些呢？
58,种子期找人才问题   老师，现在有一个点子，但是身边没有相关编程人才，想请教老师如何找到比较靠谱的相关人才呢？
59,如果借款者支付的利率和存款者收到的利率都正确地反映了通货膨胀，那么_______。A.借款者和存款者都既未损失也未受益；B.借款者受益，存款者损失；C.存款者受益，借款者损失；D.借款者和存款者都受益
60,有关信用形式的问题  银行本票、银行汇票和支票属于银行信用形式，而商业本票、商业汇票和银行承兑汇票则属于商业信用形式。
61,投资 企业库存变动作为投资处理的意义是什么呀？还有企业利润变动作为投资处理、企业折旧变动作为投资处理、企业未分配变动作为投资处理的具体含义是什么？
62,关于1.6比较优势与机会成本随堂测验T3的疑问    理论上说，从比较优势的角度看，每个人可以在每个产品上都势均力敌，此时不必进行市场化分工。这句话中的“此时不必进行市场化分工”为何是对的？我的理解：就因为比较优势，才解释了市场存在的依据，才有了分工合作和国际贸易。每个生产者生产相对优势的产品，市场分工合作，可以增加整个社会的福利水平。所以我觉得这句话不对吧，求解答。谢谢
63,日常生活所接触的各种利率   老师您好，请问我们在日常生活中所接触到的各种利率，比如各大银行的存贷款利率，都是通过这节课所讲的几大理论来决定的吗
64,古时的银票与现代的借记卡、网络支付中终端的数据传输之间的异同 老师，古代的银票和现代的银行借记卡充当的是相同的职能吗？银票代表在钱庄存款的数额，支付宝钱包里面的数字代表银行存款的数额，在支付和流通的过程中，电子数据的流动和银票的流动是一样的吗？谢谢老师
65,财务报表至少应包括哪些内容？ 财务报表至少应包括哪些内容？
66,如果银的铸造成本降低了，市场上银的拥有量增加，
67,求解 老师，凯恩斯研究的主要是实际货币需求，短期货币需求，而弗里德曼研究的主要是实际货币需求，长期货币需求?
68,中国居民家庭信贷风险问题    请大家根据当前中国居民家庭资产配置情况，给出对居民家庭信贷风险认识和判断。
69,对如何计算绝对值还是无法理解 还请老师指点
70,关于增加关税是否有利于美国消费者的问题    老师您好，讲课很好，课程对我很有引导作用，辛苦了。我的问题是，我认为增加关税的影响关系是：供给变化引起价格变化，价格变化再引起需求量变化，而不是课中所讲的需求变化引起价格变化，价格变化再引起需求量变化。不知道是不是我哪里出差错了，还请解答，谢谢。
71,在哪里可以获取并且买到这种证券呢另外，证券也像股票那样有代码
72,请问为什么C.棉花供给曲线向上移动也是对的呢 当粮食价格持续上升时，棉花生产可能发生如下情形：A.棉花种植面积增加；B.棉花种植面积减少；C.棉花供给曲线向上移动；D.棉花供给曲线向左移动；
73,互联网对于信息不对称影响   互联网的应用对于信息不对称有何影响，加剧了信息不对称还是缓解了这一问题
74,当投资产出比高于1时，我们为什么还要投资呢？
75,一个国家的金融机构由谁决定  为什么说居民的盈余和赤字管理选择会对一个国家或者地区的金融结构产生决定作用？
76,用M2/GDP判定货币是否超发，到底科学不？ 经常看到文章或财经栏目，说中国货币超发了，因为M2/GDP的比值越来越高。但有学者认为，M2是存量，GDP是流量。用存量除以流量是没有意义的。望老师予以解答。谢谢
77,请问老师关于赊销的问题    请问赊销是属于商业信用还是消费信用
78,有关信用证条款的修改，作为受益人应注意哪些问题？
79,年终奖计算税 如果一个人前四个月工薪2700后八个月涨薪至4000，那他的年终奖税怎么计算？
80,各类型的公司与企业的区别
81,流动性陷阱  当利率降到极低时，人们的投机需求会增至极大，从而流动性货币会增加，可不可以说这时交易需求也是增加的？
82,老师，求解  假设德国未来一年的预期通货膨胀率是6％，美国未来一年的预期通货膨胀率是3％；根据购买力平价(PPP)条件的近似式，可知（     ）。A．德国的币值(USD／EUR)应会上升3％B．美元的币值(USD／EUR)应会上升3％C．德国的币值(USD／EUR)应会下降3％D．美元的币值(USD／EUR)应会下降3％主要是不理解USD/EUR所表示的是单位美元所表示的欧元还是单位欧元所表示的美元。
83,请简述外币储蓄理财的技巧。  学会“率比三家”；存款期限巧把握；约定自动转存；门槛限制大不同。
84,几种金融工具流动性比较    想问一下这里的存款是指长期存款还是短期存款？如果是长期存款，跟股票和债权比较哪个流动性更高？
85,外汇赤字怎样导致本国供给小于需求？
86,流动效应作用 1.加息或降息有用吗？为什么弗里德曼认为是有限的？2.结合国内外实际加以分析其流动效应的作用
87,第一题 为什么不是追求个人利益 而促使的效率提高？
