,content
1,哲学科学与宗教信仰的关系   请问老师，科学家和哲学家的思考与宗教信仰的关系如何呢？宗教信仰是否会阻碍科学和哲学的进步呢？
2,《法律适用法司法解释一》第15条：自然人在涉外民事关系产生或者变更、终止时已经连续居住一年以上且作为其生活中心的地方，人民法院可以认定为涉外民事关系法律适用法规定的自然人的经常居所地，但就医、劳务派遣、公务等情形除外。
3,关于行政处罚，有一点十分不明白。   为什么行政处罚的种类有行政拘留，但是行政法规又不能设定除限制人身自由以外的行政处罚？？？？
4,如何看待66万奔驰还没开就漏油事件？ 女子66万买奔驰还没开就漏油，哭诉维权：太讲道理被欺负，受到奇耻大辱。陕西西安，一称有研究生学历的女子花66万买新奔驰，车还没开出门，就发现发动机漏油。店方表示只能免费换发动机，女子不接收，跑店内要说法，视频在网上引起争议。店方称，事情已得到解决，不便告知解决方案。更换车的发动机本身就会对车的价值发生重大贬损，这一点“三包法”中有考虑到吗？事件中的当事人该如何正当维护自己的权利呢？
5,如何理解哈特对于矫正正义（交换正义）与分配正义的区分？    矫正正义可以是法庭的正义，适用于矫正罪犯或者矫正其他不符合法律的行为，要求所有人都被平等的对待。而对于分配正义而言，亚里士多德认为，给予每个人的，应当和他的价值或他所得的份额相适应。这该如何理解呢？两者的划分依据是什么呢？这样的分类对于法律的意义是什么呢？
6,何为正义   你好，老师。既然苏格拉底和许多学生没有讨论出来何为正义，那怎么去塑造一个正义的人，正义的城邦？如果可以去塑造，那可不可以理解为他们已经知道了什么是正义？
7,司法实践中，对认定侵害消费领域社会公共利益应考虑哪些情形?
8,权利质权概念 权利质权，是指以所有权以外的权利作为标的而设定的质权这句话对吗？为什么？不是应该是指债权或其他可让与的财产权利吗
9,4月26日：2018年度全国打击侵权盗版十大案件   1.北京环球天下教育科技有限公司传播盗版电子出版物案。2.上海“3D播播VR”APP传播3D盗版影视作品案。3.江苏无锡“紫薯影院”微信公众号传播盗版影视作品案。4.天津百练教育科技集团有限公司销售盗版培训教材案。5.北京“8·08”销售盗版少儿图书案。6.广东龙某某等运营网络游戏私服案。7.江苏淮安“BT天堂”网传播盗版影视作品案。8.四川成都伍某某等制售盗版教辅案。9.浙江嘉兴段某某等制售盗版图书案。10.江西永新陈某某等销售盗版教辅案。我们发现盗版图书案例居多，尤其是盗版教辅资料。教辅资料是学生的必备资料，生活中我们有时也会因其价格低廉而购买盗版教辅资料，但这损害了编著者的版权，这一对矛盾是生活中广泛存在的，支持是知识产权赋予著作权人的权利，也是每个人的责任。小伙伴们怎么看待购买盗版书的行为呢？
10,“创意中插广告”版权属谁？       随着各种网剧热播，催生出一种新的广告类型——“创意中插”广告。“创意中插”广告目前由视频播放的平台方主控，制片方根据广告方的意见提出广告创意并提供演员，然后与广告方通过平台洽谈剧本细节并最终确定脚本，完成拍摄后再进行投放。这种制作方式导致了一个版权问题——“创意中插”广告在性质上究竟属于“以类似摄制电影的方法创作的作品”还是“受委托创作的作品”，在实践中存在较大争议。大家怎么看？
