,content
1,沟通之间关系 人与外界的接触，如果彼此能看到将来那么关系就能一直持续稳定这也是玻璃容器的一种，如果是瓷器容器，外界觉得自己美丽，内心丑陋。这种关系如果自己把持的好，也能维持一定稳定关系，哪怕即使自己从这段关系获得不到快乐，但是在社会相处之间也许会获得益处！这种思想是否适合呢？
2,你认为自我概念是什么？并简要谈谈你是怎样看待自己的。 结合视频中的内容谈谈你对自我概念的理解
3,老师请问如何才能很好的隐藏自己对他人的不满  因为我很清楚有的时候不满是因为自己对于他人的刻板印象，但是自己很容易就会控制不住，表情管理也不到位，不知道该怎么办才好，想求助一下老师。
4,我用眼睛谈恋爱    如题，我是个女生，但是我喜欢看女生。。。。我觉得小姐姐比小哥哥好看，
5,工作中如何和自己讨厌的人沟通 一看到讨厌的总是控制不住情绪，一沟通就特别烦躁也不知道还说什么，当然平时她也不理我但是有时候工作需要不得不进行工作上的交流，该如何控制怎么沟通呢？
6,如何接受伴侣的缺点  或者说你呢现在的伴侣有什么缺点，他（或她）改得了吗，接受现在的你得了吗
7,"我总结出:追女方的过程中,她表现出来的所有负面情绪(不开心,不理人,冷漠之类的)都是假的,所有正面的情绪(开心啊,笑啊之类)都是真的.反正就是很神奇,心理美滋滋但是表面不表现出来."
8,恋爱困扰的应对    结合视频和自身体验，谈谈你遇到过的恋爱困扰有哪些。你是怎样去应对这些困扰的？
9,自我催眠和自我暗示，有区别吗？    看了裴老师的心理文集，突然想到了这个问题。它们的区别是不是可用这样的话来形容呢：自我催眠是按照已有的剧本进行，而自我暗示则是没有剧本但是在写剧本。所以这里想请教一下裴老师。
10,打招呼很尴尬 班上的同学，不算很熟的尤其是男生的话。路上相遇，我脑子里就开始纠结，要不要装作没看见？打不打招呼呢？怎么打招呼呢？他怎么不跟我打招呼呢？明明班游的时候可以笑得很开心的，怎么现在一脸严肃。好尴尬。怎么办……
11,最骄傲的萧红 毫无野心的活在自己的世界里。
12,关于林黛玉  林黛玉是否是典型的心身陷阱造成的疾病
13,手背上划痕，怎么干预？    有一个学生（女孩），不知道为什么，老是哭，给人感觉只要有人惹，就哭。前几天拿小刀之类的东西，在手背划了许多浅浅的伤痕，让人想起在生活中也有孩子在胳臂上划痕的形象，对这种行为，很想干预，但不知如何下手？也不能理解这种行为，求老师和同学们指点。
14,情绪调整   如何在遇到让你不开心的人或事后快速调整好自己的情绪，认真做好自己的事情，不受前面坏情绪的干扰
15,如何克服上台恐惧症  1.运动。2.吃一点水果、蔬菜，补充能量、放松心情。3.听音乐。4.积极暗示自己不要紧张，我一定可以的。5.成功想象。
16,如何看待对周围人的一举一动都特敏感的人？   我有一位朋友，可能是正值青春的缘故，她对于发生在自己身边的事情反应都特别大。如果遇到有不利于她的事情，她会产生各种猜疑，对别人心生敌意。请问她这是属于自己的不自信呢，还是她就是好斗性人格？
17,自卑感    有些女生会对自己的男朋友患得患失、过分依赖，觉得没了他就不能活了，这是一种自卑心理吗？
18,日常交流问题 总是感觉在日常沟通过程中处于沟通的被动方，沟通沟通着就会忘记自己的主观意愿了，如何避免发生类似情况？
19,女生到底在想什么，烦躁。   喜欢一个女生，但是我主动的时候，她对我很冷漠。但是，我不主动的时候，她又主动了，而且有一丝丝的不高兴。然后，我不忍心，我主动，然后她又不理我。如此反复。这尼玛是啥啊，追个女生这么难吗，到底想的啥。有时候感觉她是喜欢我，有时候感觉她不喜欢我，我怀疑她是不是看了那些歪门邪道的爱情技巧方面的书了，有时候她是用了一点技巧的。尼玛搞得我很纠结，很难受啊。如果她要是喜欢我，她忍心对我用技巧？技巧我也懂啊，我就没对她用过，我都不忍心的。哎，写那些恋爱技巧的人不知道安的什么心，好人都被教坏了。
20,老师怎样正确对待自己或他人的坏情绪？
21,内疚的强迫性重复没能听明白  裴老师在讲解的时候如果能就内疚的强迫性重复先作一个比较明确的定义，举几个例子先表述清楚，我们听课可能会更明了。在后续讲解诸如男性在家庭中产生内疚性重复的例子时，也就更能理解。
22,如何理解“相似的人适合一起欢闹， 互补的适合一起变老”?
23,剩女是怎样炼成的？  当一个人对一件事投入的时间和注意力越多，就越希望越大的回报。除非是特殊人，对一般人而言，都有对亲密的需求，当一个人单身的时间越长，就越容易受到孤独的伤害，尽管显意识不承认，但潜意识是显意识管不了。潜意识中就越渴望另一半，暗中投入的精力就越多。当你用工作来逃避孤独伤害时，你只是自己以为逃避了，实际上并没有……但因为“当一个人对一件事投入的时间和注意力越多，就越希望越大的回报。”而且这些人中一部分人因为把精力用在事业上，所以社会地位高，高地位的人是从潜意识中看不起低地位的人的，这不是显意识能控制的。所以品味就更挑剔，越挑剔就越没有另一半，越没有就越想捞一笔大的，越想找好的对象就越找不到……恶性循环然后忘记了一点，一个人的年龄越大，性魅力越少。
24,那么大家觉得什么形式的过度自恋，是会伤害别人，损害他人利益的？
25,"关于课程里自恋的问题 女孩子关于找男朋友的要求去需求他人的意见,有可能是自恋,但个人觉得难道更多的不是自卑吗？从而寻求更多的认同感。"
26,学心理的都有点自恋的没错   首先恭喜老师偷得浮生半日闲，其次老师这首诗颇有隐士之风，既有陶渊明采菊东篱下的闲适，又有楚辞里众人皆醉我独醒的大智若愚。嗯，有点自恋。老师生活态度不错哦。^_^
27,关于性别与遗传策略  我之前了解过一些，性别好像还有生理性别与心理性别，这方面好像就有些复杂了，行为方式是由经历，环境，遗传特性共同决定，就好像计算机的程序一样环境是一个触发装置搭配不同的经历环境与遗传特性可以塑造特定的人格吗？自我觉察又能在行为方式中扮演什么样的角色呢？期待解惑
28,女生喜欢看美女?   这是不是一种病
