,content
1,输血的目的有哪些？常用的血液制品有哪些，分别适用于哪些患者？
2,肽键 为什么肽键中的C-N键长度比N-Ca单键短
3,生物体如果确保遗传信息传递的准确性？ 请从复制、转录、翻译三个过程分别分析生物体确保遗传信息传递准确性的机制。
4,那么为什么肾上腺素兴奋α受体的效果不能与α对抗呢？还是说能对抗但是需要一定的时间，而升压翻转效果速度比较快？
5,盆位阑尾，女性患者，诊断阑尾炎时，是否需要问其停经史？    盆位阑尾与输卵管相毗邻，如果是女性患者，是否考虑输卵管破裂的可能，那么有可能是异位妊娠，所以要询问停经史，这样合理与否？
6,小脑萎缩   小脑萎缩是因各种原因引起的小脑容积减小，脑沟增宽，从而影响小脑的功能，以老年人多见。依据所学解剖知识，你认为小脑萎缩病人会出现哪些症状？为什么？
7,底物水平磷酸化    核苷二磷酸的磷酸化作用与底物的脱氢作用的偶联反应:底物指的是什么呢？脱氢作用指的是什么呢？
8,女性避孕   在人类的繁衍过程，女性担负着更艰巨的任务，从卵子的产生、精卵结合、胚胎着床和发育，到最后胎儿分娩，几乎都由女性单独承担。应用解剖知识，你能设想两种或两种以上的女性避孕措施吗？
9,膜片钳应用实验的链接点不进  在学习里点进膜片钳应用实验后，里面的是链接吗?打不开
10,膝关节的屈伸运动   老师你好，图上的屈伸运动为什么不是沿矢状轴啊？不应该是颅前窝最低吗
11,骨度分寸法  两锁骨中线之间的距离？是6寸？
12,后溪穴    针灸学教材上说后溪穴是八脉交汇穴，通督脉，但是看督脉离这个穴位很远，这个说法对吗？
13,第九周主题讨论第一题 1、饭前服药就是空腹服用。2、随意混用中西药。3、药品和非药品分不清。4、见有一定疗效就自主减量或者停药。5、生病时不去医院接受治疗，相信经验自行买药或者等待自愈。
14,分级护理   做大手术的病人是特级护理还是一级护理？
15,临床中遇到碘过敏小孩，0.2%碘伏是不是不能用了？换用酒精嘛？    床中遇到碘过敏小孩，0.2%碘伏是不是不能用了？换用酒精嘛？
16,秋季养生重点要注意什么？   秋季养生重点要注意什么？
17,有关肌肉收缩 如何理解前负荷，后负荷呢？
18,老师结核病的最后一题我不懂为什么选D 老师，我觉得结核病是传染病在医院会传染给其他病人，应该在对应的区域隔离治疗
19,二、《内经》对经络主要阐述了哪些内容？《内经》包括《灵枢》和《素问》两部分，《灵枢》是以论述针灸为主的医学著作，故又称《针经》，阐述了腧穴的特性，记载160多个腧穴的名称和部分腧穴的定位及主治作用。
20,如何早期识别糖尿病？
